expName,dm,ds,align
Alcohol1,8.091226,4.290707,-0.44675792
Alcohol1,6.530817,2.344006,0.04241149
Alcohol1,8.319948,4.688778,0.27350123
Alcohol1,4.89578,3.394741,0.05360981
Alcohol1,8.309728,3.706142,0.07498147
Alcohol2,9.184392,3.604502,0.6
Alcohol2,8.245348,2.711292,-0.15185318
Alcohol2,5.374912,2.811307,-0.1228801
Alcohol2,7.287468,3.590216,0.39375746
Alcohol2,8.287424,3.932379,-0.01823521
Alcohol2,9.041078,4.311072,-0.24999577
Alcohol3,4.305853,2.166009,-0.19783967
Alcohol3,8.030772,3.621737,-0.15944147
Alcohol3,8.178377,3.028162,0.02313397
Alcohol3,4.919525,4.758692,0.89915042
Alcohol3,7.307934,3.618789,0.56624734
Alcohol4,4.436471,2.285203,0.7927962
Alcohol4,6.593388,4.935567,0.7260323
Alcohol4,9.536304,3.288866,0.6598508
Alcohol4,7.793073,3.640456,0.9645394
Alcohol4,6.881343,3.216697,0.8751025
Alcohol4,8.826292,3.442292,-0.5459153
Control1,7.626409,4.730422,0.4216842
Control1,8.619805,3.293674,-0.1832662
Control1,6.451305,3.043775,0.2336889
Control1,9.321443,2.655033,-0.2265835
Control1,8.530788,3.921139,-0.1354497
Control1,8.816484,2.900424,0.5690018
Control2,9.860551,3.245263,-0.000661756
Control2,9.510604,4.319613,-0.084557203
Control2,7.518493,4.378972,0.199865149
Control2,8.184102,5.949101,-0.239412601
Control2,8.911657,4.142621,-0.008630729
Control2,9.610846,2.809876,0.012093426
Control3,8.595983,2.973169,0.6157361
Control3,8.74808,2.670375,0.31575481
Control3,5.810837,3.704671,-0.19940203
Control3,5.079455,2.988925,-0.06272482
Control3,7.963989,3.359108,0.30609529
Control3,4.131382,2.68411,-0.12801838
Control4,5.089478,2.56619,0.2395231
Control4,7.874796,2.941412,-0.1933879
Control4,6.960782,3.197711,0.4424768
Control4,5.852881,2.299017,0.6043702
Control4,6.115152,2.462065,0.3316147
Control4,9.384468,3.631522,0.9456883
